id,type,world_x,world_y,w,h,sprite,solid,trigger,layer,swappable,src_x,src_y,src_w,src_h,gravity,anim_id,checkpoint
house,decor,16,32,64,112,house,0,0,1,0,0,0,64,112,0,,0
respawn_stone_01,checkpoint,128,112,32,32,respawn_stone,0,1,1,1,0,0,32,32,0,respawn_stone,1
grass,decor,224,112,32,32,grass,0,0,1,1,144,0,32,32,1,,0
plants,decor,432,112,32,32,plants,0,0,1,1,176,0,32,32,1,,0
quartz,decor,544,80,32,32,quartz,0,0,1,1,208,0,32,32,1,,0
board,decor,656,64,32,32,board,0,0,1,1,112,0,32,32,1,,0
tree,decor,832,64,160,160,tree,0,0,1,0,96,96,160,160,0,,0
mushroom,decor,1168,160,16,16,mushroom,0,0,1,1,96,0,16,16,1,,0
box,decor,1392,96,32,32,box,0,0,1,1,144,32,32,32,1,,0
minecart,decor,1360,160,32,32,minecart,0,0,1,1,112,32,32,32,1,,0
